entry_id,loc_name,loc_id,sample_name,sample_id,tester,family,entry_type,material_type,x,y,Earht,Earht_quality,Hrvwt,Hrvwt_quality,PlotRating,PlotRating_quality,Mst,Mst_quality,Pltht,Pltht_quality,NumPlts,NumPlts_quality,staygrn,staygrn_quality,Tstwt,Tstwt_quality,Yield,Yield_quality
1,loc_1,991,sam_214,214,NA,NA,check,hybrid,60,46,59.25,G,27.5,G,7,G,24.5,G,110.38,G,60.87763611,G,58.4,G,52.4,G,218.1,G
2,loc_1,991,sam_216,216,NA,NA,check,hybrid,70,49,57.75,G,32.27,G,7,G,24.3,G,108.69,G,66.41339823,G,60.19,G,51.4,G,256.7,G
3,loc_1,991,sam_217,217,NA,NA,check,hybrid,56,44,57.5,G,31.4,G,9,G,29.2,G,108.45,G,64.44108613,G,61.75,G,53.8,G,233.6,G
4,loc_1,991,sam_221,221,NA,NA,check,hybrid,64,50,58.25,G,29.55,G,7,G,29.8,G,112.54,G,50.12586,G,61.33,G,53.1,G,217.9,G
5,loc_1,991,sam_213,213,NA,NA,check,hybrid,65,44,57.75,G,30.52,G,12,G,29,G,112.52,G,64.44940827,G,62.01,G,52.7,G,227.7,G
6,loc_1,991,sam_087,87,tester_5,fam_78,entry,topcross,52,51,51.5,G,29.63,G,7,G,27.3,G,107.74,G,61.07896042,G,59.62,G,53.2,G,226.3,G
7,loc_1,991,sam_131,131,tester_5,fam_80,entry,topcross,64,41,48.5,G,32.27,G,7,G,27.9,G,103.83,G,63.98169481,G,60.6,G,62.8,G,244.5,G
8,loc_1,991,sam_176,176,tester_5,fam_14,entry,topcross,70,45,57.75,G,28.52,G,7,G,24.3,G,109.48,G,55.03093524,G,61.01,G,52.3,G,226.8,G
9,loc_1,991,sam_187,187,tester_5,fam_69,entry,topcross,61,49,56.25,G,30.35,G,9,G,26.5,G,104.11,G,65.08948665,G,60.59,G,52.3,G,234.4,G
10,loc_1,991,sam_079,79,tester_5,fam_124,entry,topcross,58,50,58.5,G,28.24,G,7,G,24.6,G,104.65,G,64.29004557,G,56.28,G,53.1,G,223.7,G
11,loc_1,991,sam_186,186,tester_5,fam_100,entry,topcross,68,49,52.25,G,28.85,G,7,G,28,G,106.42,G,61.29482046,G,61.37,G,52.6,G,218.2,G
12,loc_1,991,sam_196,196,tester_5,fam_117,entry,topcross,54,50,54.5,G,27.06,G,5,G,25.1,G,106.22,G,61.13223239,G,56.71,G,51.6,G,212.9,G
13,loc_1,991,sam_177,177,tester_5,fam_09,entry,topcross,58,48,51.25,G,31.45,G,9,G,28.8,G,104.07,G,48.02546,G,58.91,G,52.4,G,235.3,G
14,loc_1,991,sam_085,85,tester_5,fam_78,entry,topcross,62,47,53.75,G,29.11,G,7,G,24.8,G,105.15,G,59.75111209,G,60.23,G,52.8,G,230,G
15,loc_1,991,sam_060,60,tester_5,fam_64,entry,topcross,67,43,45.5,G,26.38,G,7,G,25.3,G,99.19,G,64.97578639,G,56.85,G,51.9,G,207,G
16,loc_1,991,sam_181,181,tester_5,fam_43,entry,topcross,58,46,52.25,G,27.66,G,7,G,27.5,G,142.4,G,61.6977867,G,60.38,G,53,G,210.7,G
17,loc_1,991,sam_086,86,tester_5,fam_77,entry,topcross,58,47,49.75,G,31.07,G,7,G,27.8,G,104.07,G,62.92168096,G,61.09,G,52.9,G,235.7,G
18,loc_1,991,sam_119,119,tester_5,fam_70,entry,topcross,51,45,52.75,G,28.27,G,7,G,28.8,G,104.09,G,64.6950745,G,60.41,G,53.2,G,211.5,G
19,loc_1,991,sam_201,201,tester_5,fam_85,entry,topcross,55,41,51.75,G,25.77,G,5,G,25.2,G,103.67,G,65.91250346,G,56.53,G,53.9,G,202.5,G
20,loc_1,991,sam_110,110,tester_5,fam_70,entry,topcross,70,41,54.25,G,29.47,G,7,G,26.9,G,103.81,G,65.6588733,G,60.01,G,52.6,G,226.3,G
21,loc_1,991,sam_098,98,tester_5,fam_78,entry,topcross,68,46,53,G,31.33,G,7,G,30.4,G,105.1,G,62.29919426,G,64.23,G,53.1,G,229.1,G
22,loc_1,991,sam_129,129,tester_5,fam_80,entry,topcross,58,42,54.5,G,29.03,G,7,G,27.8,G,103.38,G,64.3208663,G,60.79,G,53.8,G,220.2,G
23,loc_1,991,sam_199,199,tester_5,fam_45,entry,topcross,66,41,48.5,G,26.3,G,7,G,23.5,G,101.33,G,63.10611902,G,57.89,G,50.2,G,211.4,G
24,loc_1,991,sam_118,118,tester_5,fam_70,entry,topcross,47,49,53.33,G,32.09,G,7,G,26.6,G,104.56,G,66.62069722,G,52.56,G,53.1,G,247.5,G
25,loc_1,991,sam_116,116,tester_5,fam_68,entry,topcross,56,43,49.75,G,28.11,G,7,G,27.8,G,99.9,G,62.68287147,G,57.97,G,54.5,G,213.2,G
26,loc_1,991,sam_180,180,tester_5,fam_43,entry,topcross,50,45,58.25,G,29.79,G,7,G,24.9,G,106.82,G,65.06354486,G,58.58,G,51.5,G,318.5,G
27,loc_1,991,sam_075,75,tester_5,fam_31,entry,topcross,67,45,53.25,G,31.68,G,9,G,25.1,G,110.76,G,64.81513008,G,63.52,G,51.7,G,249.3,G
28,loc_1,991,sam_083,83,tester_5,fam_49,entry,topcross,61,42,48.25,G,25.17,G,7,G,22.9,G,96.17,G,59.51900519,G,56.37,G,53,G,203.9,G
29,loc_1,991,sam_123,123,tester_5,fam_86,entry,topcross,50,42,60,G,30.6,G,7,G,27.2,G,107.25,G,65.58640129,G,62.53,G,54.3,G,234.1,G
30,loc_1,991,sam_132,132,tester_5,fam_80,entry,topcross,47,50,54.25,G,29.8,G,7,G,24.8,G,104.02,G,64.40888984,G,58,G,53.1,G,235.4,G
31,loc_1,991,sam_174,174,tester_5,fam_12,entry,topcross,66,48,52.5,G,25.86,G,9,G,25.5,G,104.88,G,68.15817966,G,60.64,G,50.7,G,202.4,G
32,loc_1,991,sam_183,183,tester_5,fam_43,entry,topcross,65,43,49.5,G,13.06,G,9,G,23.6,G,104.14,G,63.94193199,G,58.08,G,50,G,225.6,G
33,loc_1,991,sam_182,182,tester_5,fam_43,entry,topcross,65,45,54.5,G,29.65,G,7,G,23.5,G,104.7,G,64.10585549,G,59.73,G,49.6,G,238.3,G
34,loc_1,991,sam_080,80,tester_5,fam_77,entry,topcross,68,41,54.25,G,30.12,G,7,G,25.5,G,105.08,G,62.45312364,G,60.47,G,53.6,G,235.8,G
35,loc_1,991,sam_179,179,tester_5,fam_115,entry,topcross,47,41,53,G,31.43,G,7,G,27.6,G,106.66,G,63.33936393,G,60.98,G,53.5,G,239.1,G
36,loc_1,991,sam_197,197,tester_5,fam_117,entry,topcross,56,50,56.75,G,28.72,G,7,G,28.2,G,105.95,G,64.28896262,G,59.46,G,52.8,G,216.7,G
37,loc_1,991,sam_126,126,tester_5,fam_65,entry,topcross,49,43,50.5,G,25.1,G,7,G,25.6,G,102.42,G,65.880443,G,58.88,G,53,G,196.2,G
38,loc_1,991,sam_191,191,tester_5,fam_107,entry,topcross,60,43,43.5,G,28.44,G,7,G,26.7,G,100.43,G,64.39120482,G,60.43,G,51.7,G,219,G
39,loc_1,991,sam_120,120,tester_5,fam_67,entry,topcross,48,46,53,G,24.36,G,7,G,25.4,G,101.01,G,63.09495006,G,58.06,G,54.9,G,190.9,G
40,loc_1,991,sam_198,198,tester_5,fam_117,entry,topcross,58,45,45.5,G,27.18,G,5,G,26.3,G,101.03,G,63.49168405,G,57.62,G,52.2,G,210.5,G
41,loc_1,991,sam_192,192,tester_5,fam_15,entry,topcross,62,50,52.75,G,32.1,G,9,G,28.1,G,111.09,G,64.78359771,G,62.61,G,52.4,G,242.5,G
42,loc_1,991,sam_200,200,tester_5,fam_81,entry,topcross,63,47,50,G,27.76,G,7,G,26.2,G,100.35,G,61.64161007,G,62.83,G,52.7,G,215.2,G
43,loc_1,991,sam_078,78,tester_5,fam_124,entry,topcross,70,48,53.25,G,29.5,G,4,G,26.4,G,102.9,G,65.34654164,G,59.48,G,53,G,228.1,G
44,loc_1,991,sam_189,189,tester_5,fam_47,entry,topcross,60,51,52.5,G,27.41,G,7,G,26.1,G,102.68,G,61.19135162,G,56.42,G,52.6,G,212.8,G
45,loc_1,991,sam_205,205,tester_4,fam_41,entry,topcross,51,43,52.75,G,32.2,G,9,G,31.7,G,111.21,G,62.03833009,G,65.31,G,53.7,G,231.1,G
46,loc_1,991,sam_147,147,tester_4,fam_01,entry,topcross,63,41,57,G,34.9,G,9,G,29.6,G,109.54,G,62.09618164,G,64.66,G,53.2,G,258.1,G
47,loc_1,991,sam_159,159,tester_4,fam_40,entry,topcross,57,45,60,G,34.37,G,9,G,33.1,G,109.2,G,64.44069835,G,64.54,G,55.1,G,241.6,G
48,loc_1,991,sam_203,203,tester_4,fam_42,entry,topcross,55,51,55.75,G,34.23,G,9,G,28.5,G,112.58,G,64.80297909,G,62.83,G,54.4,G,257.1,G
49,loc_1,991,sam_185,185,tester_4,fam_38,entry,topcross,47,46,60.5,G,32.29,G,9,G,28,G,109.47,G,57.50847518,G,63.31,G,53.2,G,244.3,G
50,loc_1,991,sam_149,149,tester_4,fam_116,entry,topcross,67,46,-5.58,G,32.24,G,7,G,32.5,G,110.89,G,63.28627392,G,65.08,G,56.3,G,137.8,G
51,loc_1,991,sam_164,164,tester_4,fam_24,entry,topcross,62,45,57,G,30.37,G,9,G,30,G,113.49,G,62.18170375,G,63.43,G,54.1,G,223.4,G
52,loc_1,991,sam_160,160,tester_4,fam_40,entry,topcross,61,41,63,G,34.11,G,9,G,29.4,G,111.59,G,61.52560967,G,64.65,G,52.5,G,253,G
53,loc_1,991,sam_166,166,tester_4,fam_125,entry,topcross,61,47,56.75,G,29.82,G,7,G,29.5,G,109.93,G,62.94611345,G,63.46,G,52.2,G,220.9,G
54,loc_1,991,sam_202,202,tester_4,fam_108,entry,topcross,60,41,64,G,32.49,G,7,G,30.3,G,114.21,G,64.55786869,G,64.24,G,54.1,G,237.9,G
55,loc_1,991,sam_148,148,tester_4,fam_125,entry,topcross,53,48,57,G,30.49,G,9,G,31.4,G,107.76,G,63.40915541,G,64.75,G,52.9,G,219.8,G
56,loc_1,991,sam_172,172,tester_4,fam_21,entry,topcross,55,44,63.33,G,35.56,G,9,G,31.4,G,112.21,G,62.70017879,G,62.59,G,53.3,G,256.3,G
57,loc_1,991,sam_169,169,tester_4,fam_121,entry,topcross,52,49,53.75,G,31.93,G,7,G,34.3,G,109.16,G,59.69610972,G,65.92,G,54.1,G,220.4,G
58,loc_1,991,sam_162,162,tester_4,fam_40,entry,topcross,68,48,59.25,G,30.74,G,7,G,29.9,G,108.38,G,63.9626287,G,65.87,G,52.1,G,226.4,G
59,loc_1,991,sam_223,223,tester_4,fam_102,entry,topcross,66,47,60.25,G,47.5,G,9,G,32.9,G,116.01,G,63.18943145,G,64.39,G,52.8,G,234.1,G
60,loc_1,991,sam_122,122,tester_1,fam_90,entry,topcross,48,51,111.64,G,32.88,G,7,G,26.1,G,107.24,G,65.42382539,G,60.96,G,55.6,G,255.3,G
61,loc_1,991,sam_236,236,tester_1,fam_50,entry,topcross,55,46,51.5,G,30.27,G,7,G,29,G,109.74,G,63.51652005,G,60.85,G,55.1,G,225.8,G
62,loc_1,991,sam_094,94,tester_1,fam_77,entry,topcross,50,51,56.25,G,28.34,G,9,G,26.2,G,106.22,G,58.57463119,G,53.6,G,55.2,G,219.7,G
63,loc_1,991,sam_237,237,tester_1,fam_50,entry,topcross,69,43,50,G,29.35,G,7,G,25.5,G,104.03,G,63.48070757,G,61.28,G,56,G,229.7,G
64,loc_1,991,sam_089,89,tester_1,fam_77,entry,topcross,57,50,61.5,G,33.98,G,7,G,28.8,G,113.71,G,62.37784743,G,61.62,G,54.5,G,254.2,G
65,loc_1,991,sam_232,232,tester_1,fam_48,entry,topcross,55,43,48.67,G,29.38,G,7,G,26.8,G,100.84,G,62.90261213,G,58.39,G,55.6,G,226,G
66,loc_1,991,sam_144,144,tester_1,fam_74,entry,topcross,47,47,56.5,G,38.34,G,7,G,28.5,G,113.69,G,63.38909085,G,63.95,G,54.4,G,288,G
67,loc_1,991,sam_125,125,tester_1,fam_65,entry,topcross,69,46,55.75,G,34.02,G,9,G,28.1,G,108.27,G,67.83194219,G,63.26,G,52.7,G,257,G
68,loc_1,991,sam_115,115,tester_1,fam_70,entry,topcross,52,47,57.5,G,31.51,G,9,G,30.4,G,112.66,G,59.12794984,G,62.03,G,53.9,G,230.4,G
