id,value
1,NA
2,53
3,NA
4,624
5,105
6,NA
7,77
8,77
9,77
10,77
11,53
12,74
13,NA
14,53
15,77
16,77
17,77
18,77
19,53
20,53
21,77
22,77
23,77
24,2865
25,2864
26,2868
27,2868
28,1517
29,2905
30,2913
31,937
32,2868
33,2868
34,2868
35,2862
36,628
37,626
38,2868
39,2868
40,2868
41,98
42,98
43,98
44,98
45,105
46,105
47,103
48,98
49,98
50,98
51,98
52,105
53,105
54,98
55,98
56,98
57,20
58,20
59,20
60,20
61,22
62,20
63,20
64,20
65,20
66,20
67,20
68,20
69,40
70,40
71,40
72,40
73,40
74,40
75,40
76,40
77,40
78,40
79,40
80,89
81,89
82,89
83,89
84,89
85,89
86,89
87,89
88,89
89,89
90,89
91,89
92,89
93,NA
94,NA
95,NA
96,NA
97,NA
98,801
99,105
100,NA
101,NA
102,1455
103,1455
104,1456
105,1456
106,712
107,1463
108,1471
109,713
110,1456
111,1456
112,1456
113,1455
114,1456
115,1456
116,1456
117,2
118,NA
119,NA
120,NA
121,1807
122,1805
123,1807
124,1807
125,833
126,NA
127,NA
128,441
129,1807
130,1807
131,1807
132,1805
133,132
134,1807
135,1807
136,1807
137,NA
138,NA
139,1196
140,1196
141,1197
142,1197
143,1202
144,1207
145,1197
146,1197
147,1197
148,1196
149,627
150,626
151,1197
152,1197
153,1197
154,2
155,2
156,2
157,2
158,NA
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,NA
167,NA
168,NA
169,89
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,88
185,88
186,77
187,77
188,77
189,77
190,77
191,77
192,89
193,77
194,77
195,77
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,85
237,85
238,81
239,81
240,81
241,81
242,81
243,80
244,80
245,81
246,80
247,81
248,81
249,81
250,NA
251,NA
252,NA
253,1633
254,1633
255,1638
256,1638
257,853
258,1271
259,1679
260,123
261,966
262,1638
263,1638
264,1638
265,1631
266,968
267,625
268,687
269,1638
270,1638
271,1638
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,86
284,86
285,85
286,85
287,85
288,85
289,85
290,85
291,85
292,85
293,85
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,89
306,89
307,88
308,88
309,88
310,88
311,88
312,88
313,88
314,88
315,88
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,37
328,37
329,35
330,35
331,35
332,35
333,35
334,35
335,35
336,35
337,35
338,26
339,26
340,26
341,26
342,27
343,NA
344,27
345,27
346,27
347,26
348,26
349,26
350,26
351,26
352,32
353,32
354,31
355,31
356,36
357,36
358,36
359,36
360,36
361,31
362,31
363,30
364,31
365,31
366,11
367,11
368,11
369,11
370,13
371,13
372,13
373,13
374,13
375,11
376,11
377,11
378,11
379,11
380,16
381,16
382,16
383,16
384,31
385,16
386,16
387,16
388,16
389,16
390,41
391,41
392,41
393,41
394,47
395,41
396,41
397,41
398,41
399,41
400,16
401,1609
402,1609
403,1614
404,1614
405,1662
406,1649
407,853
408,1662
409,1662
410,1653
411,1614
412,1614
413,1609
414,1655
415,1614
416,1614
417,367
418,365
419,367
420,367
421,377
422,377
423,139
424,377
425,NA
426,376
427,376
428,367
429,367
430,365
431,377
432,367
433,367
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,43
446,43
447,45
448,45
449,NA
450,47
451,45
452,45
453,43
454,45
455,45
456,15
457,15
458,15
459,15
460,16
461,16
462,15
463,15
464,15
465,15
466,15
467,26
468,26
469,27
470,27
471,NA
472,27
473,27
474,26
475,27
476,27
477,33
478,33
479,35
480,35
481,NA
482,35
483,35
484,33
485,35
486,35
487,12
488,12
489,12
490,12
491,15
492,12
493,12
494,12
495,12
496,12
497,111
498,111
499,110
500,110
501,112
502,112
503,110
504,110
505,109
506,110
507,110
508,44
509,44
510,44
511,44
512,43
513,44
514,44
515,44
516,44
517,44
518,44
519,30
520,30
521,31
522,31
523,31
524,31
525,31
526,31
527,31
528,30
529,31
530,31
531,47
532,47
533,45
534,45
535,47
536,47
537,47
538,45
539,45
540,45
541,45
542,45
543,15
544,15
545,15
546,15
547,16
548,16
549,15
550,15
551,15
552,15
553,15
554,15
555,25
556,25
557,27
558,27
559,27
560,24
561,25
562,25
563,25
564,25
565,25
566,31
567,31
568,37
569,37
570,37
571,33
572,31
573,31
574,31
575,31
576,31
577,12
578,12
579,13
580,13
581,12
582,13
583,12
584,12
585,12
586,12
587,12
588,20
589,20
590,NA
591,20
592,20
593,20
594,20
595,20
596,20
597,20
598,20
599,20
600,817
601,816
602,NA
603,834
604,834
605,163
606,702
607,840
608,840
609,763
610,834
611,834
612,816
613,834
614,834
615,124
616,124
617,NA
618,126
619,126
620,126
621,126
622,126
623,126
624,126
625,126
626,124
627,126
628,126
629,25
630,25
631,NA
632,25
633,25
634,26
635,26
636,26
637,15
638,25
639,25
640,25
641,25
642,25
643,1837
644,1836
645,NA
646,1845
647,1845
648,1253
649,646
650,1892
651,1892
652,1794
653,1842
654,1845
655,1835
656,1845
657,1842
658,21
659,21
660,27
661,23
662,23
663,27
664,27
665,23
666,23
667,21
668,23
669,23
670,32
671,32
672,37
673,34
674,33
675,36
676,37
677,34
678,34
679,32
680,34
681,34
682,11
683,11
684,13
685,11
686,11
687,13
688,13
689,11
690,11
691,11
692,11
693,11
694,579
695,579
696,617
697,600
698,600
699,617
700,615
701,600
702,600
703,579
704,600
705,600
706,230
707,229
708,NA
709,230
710,230
711,NA
712,231
713,230
714,230
715,229
716,230
717,230
718,31
719,31
720,NA
721,31
722,31
723,31
724,31
725,31
726,31
727,31
728,31
729,31
730,31
731,31
732,31
733,31
734,47
735,47
736,NA
737,47
738,47
739,47
740,47
741,47
742,47
743,47
744,47
745,47
746,47
747,47
748,47
749,47
750,14
751,14
752,NA
753,14
754,14
755,16
756,16
757,16
758,16
759,16
760,16
761,14
762,14
763,14
764,14
765,14
766,753
767,753
768,780
769,755
770,755
771,469
772,NA
773,778
774,336
775,780
776,780
777,761
778,755
